,searched_zipcode,searched_lat,searched_lng,searched_address,searched_state,searched_city,searched_metro,latitude,longitude,distance,loc_name,loc_number,url,address,cuisines,delivery_time_raw,delivery_time,review_count,review_rating,cuisines split
9722,2127,42.3364553,-71.0349193,"371 W Fourth St, Boston, MA 02127, USA",MA,Boston,BO,42.3348284,-71.0355669,0.117167525,Sixth Gear,299561,https://www.doordash.com/store/299561/?pickup=false,"81 L St, Boston, MA 02127, USA",Alcohol|Snacks|Sandwiches|Salads|Burgers,28 - 38,33,88,4.8,"['Alcohol', 'Snacks', 'Sandwiches', 'Salads', 'Burgers']"
9723,2125,42.3157363,-71.0527482,"999 Dorchester Ave, Dorchester, MA 02125, USA",MA,Dorchester,BO,42.3368019,-71.0357216,0.047458876,Sprout,2408937,https://www.doordash.com/store/2408937/?pickup=false,"SPROUT, 47 L St, South Boston, MA 02127, USA",Grocery|Snacks|Sandwiches,22 - 32,27,1,5.0,"['Grocery', 'Snacks', 'Sandwiches']"
9727,2118,42.3377967,-71.0705763,"157 W Canton St, Boston, MA 02118, USA",MA,Boston,BO,42.3488167,-71.0381694,0.870026634,Del Frisco's Double Eagle Steakhouse,59227,https://www.doordash.com/store/59227/?pickup=false,"250 Northern Ave #200, Boston, MA 02210, USA",Salads|Dessert|Shrimp|Iced Teas,40 - 50,45,93,4.3,"['Salads', 'Dessert', 'Shrimp', 'Iced Teas']"
9728,2125,42.3157363,-71.0527482,"999 Dorchester Ave, Dorchester, MA 02125, USA",MA,Dorchester,BO,42.3602407,-71.0548375,1.932603387,Wagamama,267423,https://www.doordash.com/store/267423/?pickup=false,"1 S Market St, Boston, MA 02109, USA",Asian Fusion|Japanese|Ramen|Healthy|Alcohol,52 - 62,57,771,4.4,"['Asian Fusion', 'Japanese', 'Ramen', 'Healthy', 'Alcohol']"
9731,2125,42.3157363,-71.0527482,"999 Dorchester Ave, Dorchester, MA 02125, USA",MA,Dorchester,BO,42.3513874,-71.0646105,1.833893614,Maria's Taqueria,91366,https://www.doordash.com/store/91366/?pickup=false,"226 Tremont St, Boston, MA 02116, USA",Burritos|Quesadillas|Tacos|Mexican,38 - 48,43,42,4.9,"['Burritos', 'Quesadillas', 'Tacos', 'Mexican']"
9734,2125,42.3157363,-71.0527482,"999 Dorchester Ave, Dorchester, MA 02125, USA",MA,Dorchester,BO,42.3154573,-71.0612793,1.979308462,VIVA LA BIRRIA,22998524,https://www.doordash.com/store/22998524/?pickup=false,"112 Stoughton St, Dorchester, MA 02125, USA",Tortas|Tacos|Burritos|Quesadillas|Birria|Mexican,32 - 42,37,21,5.0,"['Tortas', 'Tacos', 'Burritos', 'Quesadillas', 'Birria', 'Mexican']"
9737,2125,42.3157363,-71.0527482,"999 Dorchester Ave, Dorchester, MA 02125, USA",MA,Dorchester,BO,42.3577849,-71.0569732,1.85468598,Love Art Sushi - Downtown Crossing,1543727,https://www.doordash.com/store/1543727/?pickup=false,"40 Water St, Boston, MA 02109, USA",Asian Fusion|Sushi|Rice Bowl,36 - 46,41,159,4.7,"['Asian Fusion', 'Sushi', 'Rice Bowl']"
9740,2125,42.3157363,-71.0527482,"999 Dorchester Ave, Dorchester, MA 02125, USA",MA,Dorchester,BO,42.350496,-71.0604783,1.626211404,Clay Pot Cafe,2324896,https://www.doordash.com/store/2324896/?pickup=false,"Clay Pot Cafe, 74 Kneeland St, Boston, MA 02111, USA",Chinese|Noodles|Soup|Hot Pot|Fried Rice,37 - 47,42,73,4.5,"['Chinese', 'Noodles', 'Soup', 'Hot Pot', 'Fried Rice']"
9743,2125,42.3157363,-71.0527482,"999 Dorchester Ave, Dorchester, MA 02125, USA",MA,Dorchester,BO,42.3531587,-71.059769,1.715231924,Chicken and Rice Guys,9245,https://www.doordash.com/store/9245/?pickup=false,"85 Bedford Street, Boston, MA 02111, USA",Chicken|Gyro,37 - 47,42,24,4.4,"['Chicken', 'Gyro']"
9746,2125,42.3157363,-71.0527482,"999 Dorchester Ave, Dorchester, MA 02125, USA",MA,Dorchester,BO,42.3538482,-71.0584585,1.699666807,Grainmaker,228876,https://www.doordash.com/store/228876/?pickup=false,"91 Summer St, Boston, MA 02110, USA",Cookies|chips|Salads|Tacos,42 - 52,47,637,4.3,"['Cookies', 'chips', 'Salads', 'Tacos']"
9749,2127,42.3364553,-71.0349193,"371 W Fourth St, Boston, MA 02127, USA",MA,Boston,BO,42.3379593,-71.0423098,0.391482025,My Diner,22980012,https://www.doordash.com/store/22980012/?pickup=false,"455 E 1st St, Boston, MA 02127, USA",Seafood|Burgers|Sandwich|Soup|Delivery,25 - 35,30,0,0.0,"['Seafood', 'Burgers', 'Sandwich', 'Soup', 'Delivery']"
9752,2125,42.3157363,-71.0527482,"999 Dorchester Ave, Dorchester, MA 02125, USA",MA,Dorchester,BO,42.3525089,-71.0557428,1.536527277,Regina Pizzeria,2817991,https://www.doordash.com/store/2817991/?pickup=false,"700 Atlantic Ave, Boston, MA 02110, USA",Italian|Pizza|Salads,37 - 47,42,38,4.9,"['Italian', 'Pizza', 'Salads']"
9755,2125,42.3157363,-71.0527482,"999 Dorchester Ave, Dorchester, MA 02125, USA",MA,Dorchester,BO,42.3512589,-71.0644016,1.820081468,Montien Boston,648097,https://www.doordash.com/store/648097/?pickup=false,"63 Stuart St, Boston, MA 02116, USA",Thai|Salads|Soup|Noodles|Curry,43 - 53,48,445,4.7,"['Thai', 'Salads', 'Soup', 'Noodles', 'Curry']"
